# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.210228681564331055e-02 1.281013432890176773e-02 2.223087847232818604e-02 3.338940069079399109e-02 1.281013432890176773e-02 2.223087847232818604e-02 3.924328231811523438e+01
1.000000000000000000e+03 2.627660869620740414e-04 9.259529747396300081e-07 9.530233364785090089e-05 2.479313989169895649e-04 9.259529747396300081e-07 9.530235547572374344e-05 1.759648680686950684e+00
2.000000000000000000e+03 1.177563171950168908e-04 1.542499489914916921e-06 6.498421862488612533e-05 9.197968756780028343e-05 1.542499489914916921e-06 6.498421134892851114e-05 3.868976235389709473e-01
3.000000000000000000e+03 1.452895667171105742e-04 5.135705941938795149e-05 9.316555224359035492e-05 1.176565274363383651e-04 5.135705941938795149e-05 9.316554496763274074e-05 1.052081108093261719e+00
4.000000000000000000e+03 9.023040183819830418e-05 5.345817498891847208e-06 3.484805347397923470e-05 6.336378282867372036e-05 5.345817498891847208e-06 3.484804983600042760e-05 3.734433352947235107e-01
5.000000000000000000e+03 4.862577407038770616e-05 7.490862117265351117e-07 2.114970266120508313e-05 3.303583434899337590e-05 7.490862117265351117e-07 2.114970266120508313e-05 1.633650362491607666e-01
6.000000000000000000e+03 3.296894647064618766e-05 1.063337322193547152e-06 1.484911717852810398e-05 2.124011552950832993e-05 1.063337322193547152e-06 1.484911808802280575e-05 1.233683973550796509e-01
7.000000000000000000e+03 6.819199188612401485e-05 2.310860963916638866e-06 1.447483828087570146e-05 5.285512088448740542e-05 2.310860963916638866e-06 1.447483919037040323e-05 8.464990258216857910e-01
8.000000000000000000e+03 3.289455707999877632e-05 2.560472012191894464e-06 9.479231266595888883e-06 2.316612153663299978e-05 2.560472012191894464e-06 9.479233995079994202e-06 2.811823487281799316e-01
9.000000000000000000e+03 2.748218867054674774e-05 1.622588911232014652e-06 1.138502921094186604e-05 2.005429450946394354e-05 1.622588911232014652e-06 1.138503193942597136e-05 2.920417487621307373e-01
1.000000000000000000e+04 9.154918188869487494e-06 1.748941144796845037e-06 3.551856707417755388e-06 5.394467279984382913e-06 1.748941144796845037e-06 3.551856707417755388e-06 1.068980395793914795e-01
1.100000000000000000e+04 1.241074187419144437e-05 1.918625912367133424e-06 3.219569634893559851e-06 1.062570663634687662e-05 1.918625912367133424e-06 3.219568952772533521e-06 1.703712344169616699e-01
1.200000000000000000e+04 1.029887152981245890e-05 1.627410597393463831e-06 3.443072273512370884e-06 6.475337158917682245e-06 1.627410597393463831e-06 3.443071591391344555e-06 1.128791347146034241e-01
1.300000000000000000e+04 1.519120560260489583e-04 1.170709765574429184e-05 1.904786222439724952e-05 1.566480641486123204e-04 1.170709765574429184e-05 1.904786222439724952e-05 5.239648222923278809e-01
1.400000000000000000e+04 2.191208477597683668e-05 9.132515515375416726e-06 5.046242586104199290e-05 2.009731724683661014e-05 9.132515515375416726e-06 5.046242586104199290e-05 7.364917993545532227e-01
1.500000000000000000e+04 2.043582571786828339e-05 2.974514245579484850e-06 3.351648956595454365e-06 1.584758865647017956e-05 2.974514245579484850e-06 3.351648501848103479e-06 1.889136731624603271e-01
1.600000000000000000e+04 1.108285505324602127e-05 2.245970563308219425e-06 2.213059588029864244e-06 8.295603947772178799e-06 2.245970563308219425e-06 2.213059815403539687e-06 1.522310823202133179e-01
1.700000000000000000e+04 1.423213598172878847e-05 3.117119376838672906e-06 5.893610250495839864e-06 9.375885383633431047e-06 3.117119376838672906e-06 5.893611159990541637e-06 3.156085908412933350e-01
1.800000000000000000e+04 1.517722557764500380e-04 9.853662959358189255e-06 2.171779851778410375e-05 1.447755785193294287e-04 9.853662959358189255e-06 2.171779851778410375e-05 5.642685890197753906e-01
1.900000000000000000e+04 2.781668263196479529e-05 1.221321781486039981e-06 6.573046448465902358e-06 2.699188189581036568e-05 1.221321781486039981e-06 6.573047357960604131e-06 3.071536421775817871e-01
2.000000000000000000e+04 2.066055276372935623e-05 2.350055638089543208e-06 5.381114988267654553e-06 1.690475073701236397e-05 2.350055638089543208e-06 5.381114988267654553e-06 3.543910384178161621e-01
2.000000000000000000e+04 2.033542659773956984e-05 2.350055638089543208e-06 5.381114988267654553e-06 1.690475073701236397e-05 2.350055638089543208e-06 5.381114988267654553e-06 3.543910384178161621e-01
2.063100000000000000e+04 5.535694072023034096e-07 3.491794942078740860e-08 3.783354998176946538e-07 3.109741726348147495e-07 3.491794942078740860e-08 3.783358977216266794e-07 1.534982491284608841e-02
