# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.295378684997558594e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.295378684997558594e-01
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.848524764180183411e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.848524764180183411e-02
2.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.027042187750339508e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.027042187750339508e-02
3.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.019453398883342743e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.019453398883342743e-02
4.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.006859309971332550e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.006859309971332550e-02
5.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.979034557938575745e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.979034557938575745e-02
6.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.782278902828693390e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.782278902828693390e-02
7.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.499680966138839722e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.499680966138839722e-03
7.000000000000000000e+03 1.316404876708984375e+02 2.979237139225006104e-01 2.499680995941162109e+00 1.316404876708984375e+02 2.979237139225006104e-01 2.499680995941162109e+00
8.000000000000000000e+03 1.843096160888671875e+01 1.340067130513489246e-03 3.221415328979492188e+01 1.843096160888671875e+01 1.340067130513489246e-03 3.221415328979492188e+01
9.000000000000000000e+03 1.214622688293457031e+01 1.320920564467087388e-04 3.494677352905273438e+01 1.214622688293457031e+01 1.320920564467087388e-04 3.494677352905273438e+01
1.000000000000000000e+04 9.562157630920410156e+00 1.328019541688263416e-03 3.332790374755859375e+01 9.562157630920410156e+00 1.328019541688263416e-03 3.332790374755859375e+01
1.100000000000000000e+04 6.678493976593017578e+00 1.172356074675917625e-03 2.611439323425292969e+01 6.678493976593017578e+00 1.172356074675917625e-03 2.611439323425292969e+01
1.200000000000000000e+04 5.615640163421630859e+00 1.813276176108047366e-04 2.705756950378417969e+01 5.615640163421630859e+00 1.813276176108047366e-04 2.705756950378417969e+01
1.300000000000000000e+04 6.666299819946289062e+00 2.542528964113444090e-04 2.579312705993652344e+01 6.666299819946289062e+00 2.542528964113444090e-04 2.579312705993652344e+01
1.400000000000000000e+04 7.329992294311523438e+00 1.200322294607758522e-03 2.618678092956542969e+01 7.329992294311523438e+00 1.200322294607758522e-03 2.618678092956542969e+01
1.500000000000000000e+04 6.532537460327148438e+00 5.083644646219909191e-04 2.490047645568847656e+01 6.532537460327148438e+00 5.083644646219909191e-04 2.490047645568847656e+01
1.600000000000000000e+04 7.359226703643798828e+00 2.768915437627583742e-04 2.438435554504394531e+01 7.359226703643798828e+00 2.768915437627583742e-04 2.438435554504394531e+01
1.700000000000000000e+04 8.128476142883300781e+00 4.355325945653021336e-04 2.454026985168457031e+01 8.128476142883300781e+00 4.355325945653021336e-04 2.454026985168457031e+01
1.800000000000000000e+04 8.265091896057128906e+00 3.065542550757527351e-04 2.421938514709472656e+01 8.265091896057128906e+00 3.065542550757527351e-04 2.421938514709472656e+01
1.900000000000000000e+04 6.656162738800048828e+00 1.011512591503560543e-03 2.544969749450683594e+01 6.656162738800048828e+00 1.011512591503560543e-03 2.544969749450683594e+01
2.000000000000000000e+04 6.588510513305664062e+00 3.274528426118195057e-04 2.447073173522949219e+01 6.588510513305664062e+00 3.274528426118195057e-04 2.447073173522949219e+01
2.100000000000000000e+04 1.648646163940429688e+01 9.590688161551952362e-03 2.851484107971191406e+01 1.648646163940429688e+01 9.590688161551952362e-03 2.851484107971191406e+01
2.200000000000000000e+04 1.188525104522705078e+01 1.115545397624373436e-03 5.115757751464843750e+01 1.188525104522705078e+01 1.115545397624373436e-03 5.115757751464843750e+01
2.300000000000000000e+04 7.993698596954345703e+00 1.061814487911760807e-03 4.754496383666992188e+01 7.993698596954345703e+00 1.061814487911760807e-03 4.754496383666992188e+01
2.400000000000000000e+04 6.244309425354003906e+00 9.712387691251933575e-04 4.509922790527343750e+01 6.244309425354003906e+00 9.712387691251933575e-04 4.509922790527343750e+01
2.500000000000000000e+04 5.824715137481689453e+00 8.766988757997751236e-04 4.353545761108398438e+01 5.824715137481689453e+00 8.766988757997751236e-04 4.353545761108398438e+01
2.600000000000000000e+04 6.060275554656982422e+00 5.650073289871215820e-04 4.233621597290039062e+01 6.060275554656982422e+00 5.650073289871215820e-04 4.233621597290039062e+01
2.700000000000000000e+04 6.213008403778076172e+00 3.708194417413324118e-04 4.142676925659179688e+01 6.213008403778076172e+00 3.708194417413324118e-04 4.142676925659179688e+01
2.800000000000000000e+04 6.474122524261474609e+00 2.497874374967068434e-04 3.978673553466796875e+01 6.474122524261474609e+00 2.497874374967068434e-04 3.978673553466796875e+01
2.900000000000000000e+04 5.904926776885986328e+00 1.467746187699958682e-04 3.666213607788085938e+01 5.904926776885986328e+00 1.467746187699958682e-04 3.666213607788085938e+01
3.000000000000000000e+04 4.947672843933105469e+00 1.259559881873428822e-03 3.105649948120117188e+01 4.947672843933105469e+00 1.259559881873428822e-03 3.105649948120117188e+01
