# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.193507045507431030e-02 1.643743552267551422e-02 5.292022973299026489e-02 8.830428123474121094e-02 1.643743552267551422e-02 5.292022973299026489e-02 9.064500427246093750e+01
1.000000000000000000e+03 1.950140722328796983e-04 1.170063569588819519e-06 1.258559495909139514e-04 1.507778797531500459e-04 1.170063569588819519e-06 1.258559495909139514e-04 4.470820426940917969e-01
2.000000000000000000e+03 1.329909428022801876e-04 5.174481884751003236e-06 8.328798139700666070e-05 1.027183461701497436e-04 5.174481884751003236e-06 8.328798139700666070e-05 3.223514258861541748e-01
3.000000000000000000e+03 1.075557302101515234e-04 1.634864247535006143e-06 5.250664253253489733e-05 7.983639807207509875e-05 1.634864247535006143e-06 5.250664253253489733e-05 2.096872925758361816e-01
4.000000000000000000e+03 9.608852997189387679e-05 1.397249548062973190e-06 4.055349199916236103e-05 6.898570427438244224e-05 1.397249548062973190e-06 4.055349199916236103e-05 1.857765316963195801e-01
5.000000000000000000e+03 2.017082588281482458e-04 1.683700538706034422e-04 1.516751945018768311e-04 1.699326676316559315e-04 1.683700538706034422e-04 1.516751945018768311e-04 2.973817348480224609e+00
6.000000000000000000e+03 6.347746966639533639e-05 5.940042910879128613e-07 2.038458660535980016e-05 4.377723598736338317e-05 5.940042910879128613e-07 2.038458660535980016e-05 1.277843266725540161e-01
7.000000000000000000e+03 5.061239062342792749e-05 8.371327453460253309e-07 1.467106994823552668e-05 3.506271605147048831e-05 8.371327453460253309e-07 1.467106994823552668e-05 1.225674077868461609e-01
8.000000000000000000e+03 4.743120734929107130e-05 1.575115788909897674e-06 1.265417631657328457e-05 3.382291470188647509e-05 1.575115788909897674e-06 1.265417631657328457e-05 2.651610970497131348e-01
9.000000000000000000e+03 4.317233833717182279e-05 1.855551317930803634e-06 1.258528027392458171e-05 3.107104203081689775e-05 1.855551317930803634e-06 1.258528027392458171e-05 1.426988840103149414e-01
1.000000000000000000e+04 4.086420449311845005e-05 1.308487867390795145e-06 1.039331436913926154e-05 2.950960879388730973e-05 1.308487867390795145e-06 1.039331436913926154e-05 1.198371723294258118e-01
1.100000000000000000e+04 3.924592238035984337e-05 1.423679577783332206e-06 9.835266610025428236e-06 2.857619801943656057e-05 1.423679577783332206e-06 9.835266610025428236e-06 1.090561673045158386e-01
1.200000000000000000e+04 3.741349428310059011e-05 1.447640443075215444e-06 9.350560503662563860e-06 2.729835432546678931e-05 1.447640443075215444e-06 9.350560503662563860e-06 1.147753149271011353e-01
1.300000000000000000e+04 3.631904110079631209e-05 1.578009459990425967e-06 9.276181117456872016e-06 2.682285958144348115e-05 1.578009459990425967e-06 9.276181117456872016e-06 1.412951350212097168e-01
1.400000000000000000e+04 3.439148349571041763e-05 1.538469177830847912e-06 8.354752935701981187e-06 2.533761471568141133e-05 1.538469177830847912e-06 8.354752935701981187e-06 1.187314540147781372e-01
1.500000000000000000e+04 3.214989192201755941e-05 1.716821088848519139e-06 7.260838629008503631e-06 2.380544538027606905e-05 1.716821088848519139e-06 7.260838629008503631e-06 1.152673289179801941e-01
1.600000000000000000e+04 9.909827349474653602e-05 3.118353197351098061e-05 1.518455701443599537e-05 9.060233423952013254e-05 3.118353197351098061e-05 1.518455701443599537e-05 1.412052392959594727e+00
1.700000000000000000e+04 2.812023558362852782e-05 1.796760557226662058e-06 6.887353265483397990e-06 2.089771442115306854e-05 1.796760557226662058e-06 6.887353265483397990e-06 1.330476850271224976e-01
1.800000000000000000e+04 2.510739977878984064e-05 2.016303142227116041e-06 5.882786354050040245e-06 1.874800909718032926e-05 2.016303142227116041e-06 5.882786354050040245e-06 1.223929375410079956e-01
1.900000000000000000e+04 2.209233571193180978e-05 2.115465349561418407e-06 5.485553629114292562e-06 1.642538518353831023e-05 2.115465349561418407e-06 5.485553629114292562e-06 1.231880784034729004e-01
2.000000000000000000e+04 6.925338675500825047e-05 1.285164125874871388e-05 2.116528230544645339e-05 6.733383634127676487e-05 1.285164125874871388e-05 2.116528230544645339e-05 6.294052600860595703e-01
2.000000000000000000e+04 6.925338675500825047e-05 1.285164125874871388e-05 2.116528230544645339e-05 6.733383634127676487e-05 1.285164125874871388e-05 2.116528230544645339e-05 6.294052600860595703e-01
2.068500000000000000e+04 1.802291080821305513e-06 9.839951786716483184e-08 3.613321837292460259e-07 1.330981831415556371e-06 9.839951786716483184e-08 3.613321837292460259e-07 3.244132548570632935e-02
