# x, y
1.675102561712265015e-01 5.283175706863403320e-01 1.367778927087783813e-01 2.084271758794784546e-01
3.215392529964447021e-01 1.660026907920837402e-01 7.184410095214843750e-01 3.264111280441284180e-01
7.429456114768981934e-01 9.723758101463317871e-01 2.734121978282928467e-01 4.742189496755599976e-02
9.929562211036682129e-01 9.154326915740966797e-01 3.025224506855010986e-01 4.726992454379796982e-03
3.680118024349212646e-01 2.467314153909683228e-01 3.934453427791595459e-02 7.896775752305984497e-02
1.553810834884643555e-01 3.914576172828674316e-01 2.312406897544860840e-01 2.935794293880462646e-01
6.267707943916320801e-01 2.735570669174194336e-01 6.442120075225830078e-01 6.277369856834411621e-01
2.457273453474044800e-01 8.619927763938903809e-01 7.754803299903869629e-01 1.899816393852233887e-01
8.947959542274475098e-01 4.646521061658859253e-02 8.643909096717834473e-01 1.950749382376670837e-02
9.356942772865295410e-01 5.730578899383544922e-01 8.057492375373840332e-01 1.119730919599533081e-01
3.811833262443542480e-01 1.124510616064071655e-01 1.817335337400436401e-01 1.740946322679519653e-01
7.382178902626037598e-01 7.037664055824279785e-01 6.804373115301132202e-02 1.246757656335830688e-01
4.506193399429321289e-01 3.229463994503021240e-01 9.706070423126220703e-01 7.736858725547790527e-02
3.343728184700012207e-01 7.150589823722839355e-01 2.796680629253387451e-01 5.212200284004211426e-01
3.338453173637390137e-01 6.136035323143005371e-01 4.991396665573120117e-01 8.122029900550842285e-01
6.845874190330505371e-01 8.560000061988830566e-01 6.317061930894851685e-02 7.209119200706481934e-02
3.060659766197204590e-01 1.309895068407058716e-01 6.220919489860534668e-01 3.041920363903045654e-01
7.166507840156555176e-01 8.671849966049194336e-01 8.979218006134033203e-01 9.927841275930404663e-02
2.131658047437667847e-01 2.761932313442230225e-01 5.579800009727478027e-01 4.656850993633270264e-01
6.286644339561462402e-01 7.786175608634948730e-01 5.064910650253295898e-01 5.890044569969177246e-01
1.713420450687408447e-01 5.912966728210449219e-01 9.216490983963012695e-01 1.198174357414245605e-01
6.414498090744018555e-01 1.731448620557785034e-01 2.109477818012237549e-01 2.874837815761566162e-01
3.398045301437377930e-01 7.479221224784851074e-01 5.454860329627990723e-01 6.171087026596069336e-01
1.160043776035308838e-01 6.251808404922485352e-01 8.088235259056091309e-01 1.860519051551818848e-01
5.841899514198303223e-01 3.141524195671081543e-01 6.406643390655517578e-01 7.279661297798156738e-01
9.914816021919250488e-01 4.497728869318962097e-02 9.816728830337524414e-01 2.168477076338604093e-04
9.949574619531631470e-02 2.718680910766124725e-02 9.956271648406982422e-01 3.603596414905041456e-04
4.240728318691253662e-01 6.981925964355468750e-01 5.370453000068664551e-01 7.840009927749633789e-01
6.693686246871948242e-01 2.659241855144500732e-01 5.094425082206726074e-01 6.387771964073181152e-01
5.367153137922286987e-02 6.177469491958618164e-01 7.884481549263000488e-02 3.836101293563842773e-02
8.710001707077026367e-01 5.345059037208557129e-01 3.197794556617736816e-01 3.307869136333465576e-01
4.218465089797973633e-01 6.916176080703735352e-01 4.315210133790969849e-02 1.080529093742370605e-01
2.425554841756820679e-01 3.300055861473083496e-01 2.383919358253479004e-01 4.045937955379486084e-01
6.291967630386352539e-01 5.755645632743835449e-01 2.871812582015991211e-01 7.007237672805786133e-01
9.552211761474609375e-01 6.846581399440765381e-02 6.899968981742858887e-01 2.475192956626415253e-02
7.576840519905090332e-01 4.746887087821960449e-01 1.388411223888397217e-01 2.905212044715881348e-01
2.610108852386474609e-01 4.409105479717254639e-01 3.906553685665130615e-01 6.765953898429870605e-01
4.539198875427246094e-01 6.793529987335205078e-01 4.327139556407928467e-01 8.179510235786437988e-01
8.843780308961868286e-02 7.695996165275573730e-01 5.917087197303771973e-01 1.741530895233154297e-01
