# x, y
7.461443543434143066e-01 4.275997877120971680e-01
6.126037836074829102e-01 4.209167063236236572e-01
4.111108481884002686e-01 3.471825420856475830e-01
8.996425271034240723e-01 4.004707932472229004e-01
5.829665064811706543e-02 5.809886753559112549e-02
8.227123618125915527e-01 4.181126654148101807e-01
7.180522084236145020e-01 4.287797212600708008e-01
4.465890228748321533e-01 3.658403456211090088e-01
5.015711188316345215e-01 3.900097608566284180e-01
1.600553840398788452e-02 1.600143872201442719e-02
1.539661586284637451e-01 1.503592282533645630e-01
8.135135769844055176e-01 4.197076261043548584e-01
4.958270490169525146e-01 3.877584636211395264e-01
5.049217343330383301e-01 3.912933170795440674e-01
3.238312304019927979e-01 2.915920913219451904e-01
7.262625098228454590e-01 4.285700619220733643e-01
7.012147903442382812e-01 4.288520812988281250e-01
8.167876601219177246e-01 4.191534221172332764e-01
4.031407535076141357e-01 3.426684141159057617e-01
1.137193888425827026e-01 1.122582256793975830e-01
3.938831984996795654e-01 3.372790217399597168e-01
1.341662704944610596e-01 1.317728012800216675e-01
2.216969132423400879e-01 2.110640555620193481e-01
3.618038892745971680e-01 3.174118995666503906e-01
4.880917966365814209e-01 3.846254050731658936e-01
4.838886857032775879e-01 3.828742504119873047e-01
8.334962725639343262e-01 4.160947799682617188e-01
9.683470726013183594e-01 3.791358470916748047e-01
4.803643822669982910e-01 3.813795149326324463e-01
4.337684512138366699e-01 3.593712151050567627e-01
7.681273221969604492e-01 4.257856309413909912e-01
4.973431825637817383e-01 3.883589506149291992e-01
5.721702575683593750e-01 4.124263823032379150e-01
5.195876359939575195e-01 3.966539502143859863e-01
2.555655539035797119e-01 2.394070327281951904e-01
4.391656219959259033e-01 3.621324896812438965e-01
9.696742892265319824e-01 3.786801993846893311e-01
3.949416428804397583e-02 3.943260759115219116e-02
7.922058105468750000e-01 4.229403734207153320e-01
3.001765906810760498e-02 2.999062463641166687e-02
5.594738125801086426e-01 4.091106355190277100e-01
7.917013019323348999e-02 7.867544889450073242e-02
2.930995523929595947e-01 2.689713835716247559e-01
4.063712358474731445e-01 3.445122241973876953e-01
1.899024546146392822e-01 1.831760406494140625e-01
9.872504472732543945e-01 3.725086450576782227e-01
3.504620119929313660e-02 3.500318154692649841e-02
5.362958908081054688e-01 4.022495746612548828e-01
2.641952037811279297e-01 2.463834732770919800e-01
2.033662199974060059e-01 1.951269805431365967e-01
9.064031839370727539e-01 3.985836505889892578e-01
6.248213648796081543e-01 4.228696823120117188e-01
8.832485079765319824e-01 4.048346281051635742e-01
6.547458767890930176e-01 4.264755845069885254e-01
3.351224064826965332e-01 2.995223104953765869e-01
2.667062543332576752e-02 2.665166184306144714e-02
2.920064330101013184e-01 2.681396901607513428e-01
9.355743527412414551e-01 3.898887038230895996e-01
9.429419636726379395e-01 3.875578641891479492e-01
1.429795175790786743e-01 1.400862336158752441e-01
1.111267805099487305e-01 1.097628995776176453e-01
2.235621362924575806e-01 2.126631587743759155e-01
6.493344902992248535e-01 4.259460568428039551e-01
1.922495812177658081e-01 1.852737814188003540e-01
5.159100890159606934e-01 3.953491449356079102e-01
1.018037833273410797e-02 1.017932407557964325e-02
4.697752594947814941e-01 3.767438828945159912e-01
7.287818789482116699e-01 4.284831583499908447e-01
3.747265636920928955e-01 3.256348371505737305e-01
6.771919131278991699e-01 4.281038641929626465e-01
4.154910445213317871e-01 3.496134877204895020e-01
8.606253266334533691e-01 4.103388786315917969e-01
8.263581395149230957e-01 4.174482226371765137e-01
3.371713757514953613e-01 3.009387850761413574e-01
5.798228383064270020e-01 4.142741560935974121e-01
6.391720771789550781e-01 4.248060882091522217e-01
3.006361424922943115e-01 2.746557891368865967e-01
5.638076663017272949e-01 4.102776348590850830e-01
4.597508311271667480e-01 3.721562623977661133e-01
3.771962597966194153e-02 3.766599670052528381e-02
2.276182174682617188e-01 2.161255925893783569e-01
6.472536325454711914e-01 4.257281422615051270e-01
7.956221699714660645e-01 4.224663376808166504e-01
8.413002490997314453e-01 4.145371019840240479e-01
5.463153123855590820e-01 4.053439199924468994e-01
8.303846716880798340e-01 4.166932106018066406e-01
6.433003544807434082e-01 4.252921640872955322e-01
1.474963128566741943e-01 1.443221569061279297e-01
7.334483861923217773e-01 4.282943606376647949e-01
8.087368607521057129e-01 4.204890131950378418e-01
6.074329018592834473e-01 4.200051724910736084e-01
7.553612440824508667e-02 7.510636001825332642e-02
