# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.346725463867187500e+00 3.351597070693969727e+00 5.096392631530761719e-01
1.000000000000000000e+03 6.567680742591619492e-03 6.530447863042354584e-03 8.626670576632022858e-03
2.000000000000000000e+03 9.619361953809857368e-04 9.568415116518735886e-04 1.701722852885723114e-03
3.000000000000000000e+03 3.145180526189506054e-04 3.129136748611927032e-04 6.695294869132339954e-04
4.000000000000000000e+03 2.062212442979216576e-04 2.037605590885505080e-04 3.600328927859663963e-04
5.000000000000000000e+03 1.472769217798486352e-04 1.434533332940191031e-04 2.707099774852395058e-04
6.000000000000000000e+03 9.358722309116274118e-05 9.215118916472420096e-05 2.030110481427982450e-04
7.000000000000000000e+03 5.664512354996986687e-05 5.555691677727736533e-05 1.441407657694071531e-04
8.000000000000000000e+03 3.513248520903289318e-05 3.460516381892375648e-05 1.001833807094953954e-04
9.000000000000000000e+03 2.599126310087740421e-05 2.530233177822083235e-05 7.804125198163092136e-05
1.000000000000000000e+04 2.211483661085367203e-05 2.154156754841096699e-05 7.173643825808539987e-05
1.100000000000000000e+04 2.786986260616686195e-05 2.725317790464032441e-05 4.991409368813037872e-04
1.200000000000000000e+04 2.254944411106407642e-05 2.229880010418128222e-05 3.642424417193979025e-04
1.300000000000000000e+04 1.664565388637129217e-05 1.633571810089051723e-05 7.134376210160553455e-05
1.400000000000000000e+04 1.520689966127974913e-05 1.494437947258120403e-05 6.058158032828941941e-05
1.500000000000000000e+04 1.388078362651867792e-05 1.369734400213928893e-05 5.764591332990676165e-05
1.500000000000000000e+04 1.390892430208623409e-05 1.369734400213928893e-05 5.764591332990676165e-05
1.500300000000000000e+04 1.390823035762878135e-05 1.369573874399065971e-05 5.804280590382404625e-05
